Participant,Duration (in seconds),ImaginaryFriend,ImaginaryFriendAge,Ghosts,God,UFO,SETI,GMOs,MoreAttractive,AttractiveConfident,Stronger,StrongerConfident,Smarter,SmarterConfident,HogwartsHouse,Computer,Phone,nastyFood,Superpower,Age,Raised,Religious,Conservative,Liberal,PartyID,BoredOrScared,Kids,StudierOrPartier
1,170,1,7,7,7,6,2,7,,,,,75,4,1,2,2,7,2,,,1,1,7,1,2,,
2,320,-1,,1,1,3,3,4,50,6,60,5,80,6,4,1,1,6,5,30,6,6,6,2,2,2,0,1
3,312,1,16,3,1,7,5,1,50,4,30,4,30,3,5,1,1,2,5,39,6,7,4,4,6,2,2,1
4,327,-1,,4,1,4,2,4,0,7,50,4,50,4,,2,2,7,5,57,1,4,,,,1,,1
5,271,1,10,3,2,2,1,2,50,6,40,6,40,6,2,2,1,7,1,25,1,3,2,3,5,1,0,2
6,261,-1,,5,5,6,2,7,65,3,70,4,60,2,3,2,2,6,2,32,3,1,1,6,1,2,2,1
7,499,-1,,2,1,2,1,5,60,4,30,4,75,4,2,1,1,7,2,29,6,3,2,5,1,2,2,1
8,717,-1,,3,2,2,1,4,90,6,45,5,95,4,3,1,1,7,6,31,6,5,4,4,5,1,3,2
9,239,-1,,5,6,4,2,4,70,1,30,2,60,2,5,2,1,9,6,38,6,1,1,4,4,2,2,1
10,554,1,5,7,7,7,2,6,70,4,70,6,85,6,3,2,1,3,2,31,1,1,2,6,1,2,1,2
11,433,-1,,7,1,7,4,1,80,7,80,7,80,7,5,2,2,1,6,30,6,6,6,3,5,2,5,1
12,880,-1,,4,2,4,4,6,80,6,70,7,70,6,5,3,1,7,4,32,6,5,2,6,6,2,2,1
13,166,-1,,7,7,7,2,7,80,4,50,4,75,5,5,2,1,7,4,41,5,1,7,7,3,2,1,1
14,768,-1,,6,7,3,1,5,40,2,40,2,90,4,1,2,1,7,4,47,1,1,2,4,5,2,1,1
15,264,-1,,6,1,4,2,4,,,,,,,1,2,1,2,6,,1,5,,,,2,,1
16,187,0,,4,2,7,1,2,80,1,50,4,20,4,2,1,1,2,7,33,6,3,1,6,1,2,2,1
17,1068,-1,,6,6,2,2,4,75,5,20,1,85,4,1,1,1,7,2,44,6,1,3,5,1,2,0,1
18,172,1,7,3,4,2,1,5,60,4,80,4,90,4,4,2,1,9,2,33,2,2,1,6,1,1,3,1
19,921,-1,,4,1,6,4,,,,70,4,70,4,,1,1,4,5,44,6,4,,2,6,2,4,2
20,400,-1,,3,3,6,2,3,25,3,30,4,35,4,2,1,1,7,5,29,1,3,5,4,3,2,2,1
21,357,1,,6,2,5,1,4,40,2,40,2,50,2,5,3,3,7,2,42,3,3,4,4,5,2,0,2
22,210,-1,,5,5,4,2,3,60,4,50,3,70,5,5,1,1,3,6,37,1,1,4,4,3,2,2,1
23,1028,1,,6,3,4,4,6,15,4,96,6,96,6,1,3,1,7,5,43,1,1,1,1,1,2,4,1
24,268,-1,,5,3,4,3,4,60,6,30,6,60,6,3,1,1,7,4,43,6,4,4,4,5,2,20,1
25,196,-1,,7,1,7,4,4,40,1,40,1,40,1,1,1,1,7,1,34,3,5,2,4,6,2,2,1
26,281,-1,,4,2,6,2,2,83,5,70,3,75,5,5,3,1,3,1,39,6,5,3,4,5,1,0,1
27,255,-1,,3,1,4,1,4,30,4,70,4,60,4,5,1,1,9,5,43,2,1,2,6,1,2,0,1
28,335,1,5,4,3,1,1,7,50,4,50,4,40,4,5,2,1,7,2,31,1,3,2,5,1,1,0,1
29,177,0,,2,5,2,1,3,40,4,60,4,30,4,4,2,2,4,4,23,2,1,1,3,1,1,0,1
30,373,-1,,2,2,4,2,3,55,4,40,4,80,4,2,2,1,7,6,64,4,6,1,6,1,1,3,1
31,380,-1,,4,1,4,1,6,49,3,34,3,59,4,2,1,1,7,2,29,1,4,1,5,5,1,1,1
32,326,1,7,2,2,1,1,5,85,5,50,4,90,6,3,1,1,3,6,20,1,1,1,3,4,1,2,1
33,182,-1,,7,1,4,4,3,80,4,95,4,90,4,5,1,1,6,5,32,1,5,2,4,5,1,0,1
34,312,0,,2,6,5,1,6,65,4,70,5,50,2,2,3,1,4,5,30,3,1,3,2,6,1,2,1
35,290,-1,,7,4,4,1,2,95,6,60,4,80,6,5,2,2,7,1,58,1,2,2,2,5,1,1,1
36,291,-1,,4,3,4,2,2,20,4,30,4,30,4,5,2,1,7,5,34,6,2,2,2,1,2,2,1
37,224,-1,,5,6,4,1,3,60,5,75,5,95,7,5,1,2,6,2,35,6,2,1,5,1,2,0,1
38,418,-1,,4,2,4,2,6,55,3,85,5,70,5,3,2,1,2,5,40,6,6,1,6,1,1,2,1
39,458,-1,,6,5,6,1,6,65,6,50,5,65,5,1,1,1,6,2,34,1,2,1,6,1,1,3,1
40,247,1,5,2,1,4,2,3,84,5,73,5,85,5,1,2,1,7,5,43,3,6,6,2,3,2,1,2
41,270,-1,,4,2,2,1,2,85,5,60,4,85,6,5,1,2,6,2,32,6,1,4,4,6,1,1,1
42,320,-1,,3,4,6,1,6,40,4,30,5,50,5,1,1,1,3,1,32,6,2,3,5,6,1,0,1
43,283,-1,,4,2,1,1,7,30,5,20,5,70,5,3,1,1,7,4,25,3,5,3,5,,2,2,2
44,355300,-1,,3,1,5,3,3,50,6,60,6,60,6,5,3,1,8,3,32,3,5,4,1,2,2,2,1
45,651,-1,,3,2,4,2,2,50,4,20,5,65,5,2,2,1,7,5,35,3,4,3,4,1,1,0,1
46,213,-1,,6,5,1,1,7,94,6,97,6,90,7,3,2,1,2,5,26,4,1,2,4,1,2,0,2
47,218,1,4,6,1,5,4,5,30,3,50,3,85,5,3,2,2,7,2,34,3,5,5,3,5,2,2,1
48,226,-1,,6,5,5,2,5,50,3,30,3,85,4,1,1,1,7,1,32,6,2,2,5,6,2,2,1
49,296,-1,,6,6,5,1,5,100,7,35,4,70,5,1,2,2,1,2,36,2,2,1,7,1,2,1,1
50,209,-1,,5,4,7,1,7,70,3,90,5,96,6,1,2,2,7,2,26,2,2,2,6,1,2,2,1
51,324,-1,,4,6,7,5,3,20,4,40,6,50,4,3,1,1,7,3,27,1,2,2,6,1,2,3,2
52,194,-1,,4,4,2,1,3,90,6,50,4,60,4,5,1,1,7,5,22,1,2,2,6,1,2,0,1
53,360,-1,,4,1,7,7,3,40,4,60,4,75,4,3,1,1,4,2,30,2,5,5,2,2,2,2,1
54,518,1,11,3,1,3,1,3,85,5,50,6,50,6,5,1,1,7,3,36,4,5,4,5,1,1,0,1
55,327,1,,6,6,4,2,2,90,7,40,6,70,6,5,1,1,3,2,35,6,1,1,1,1,1,5,1
56,223,-1,,4,2,3,1,4,75,5,90,5,80,4,3,1,1,3,2,37,6,2,3,6,1,2,3,1
57,339,-1,,3,1,3,2,2,50,4,75,4,50,4,5,1,1,7,5,35,3,6,4,3,5,1,0,1
58,228,-1,,6,1,4,4,3,70,5,50,5,80,6,1,1,2,7,2,23,6,6,4,4,6,2,4,1
59,202,0,,4,4,4,4,4,70,4,70,4,80,4,5,2,2,8,4,38,6,4,4,4,6,2,0,1
60,232,-1,,3,7,4,2,3,70,3,80,5,50,4,1,1,1,7,4,46,2,1,1,7,1,2,2,1
61,314,-1,,7,6,6,2,6,80,6,65,5,90,7,5,2,2,7,4,41,6,1,3,5,3,1,3,1
62,481,-1,,4,4,4,4,1,60,4,90,6,70,5,1,1,1,2,6,40,6,2,2,6,1,1,3,2
63,207,-1,,3,1,5,1,5,70,7,50,7,60,7,3,1,1,2,3,22,6,5,2,6,1,1,2,2
64,319,-1,,3,2,5,2,7,50,3,20,4,60,3,1,1,1,3,3,30,4,3,2,5,5,1,0,2
65,590,-1,,6,3,4,2,7,85,3,60,4,98,6,5,2,2,2,5,41,6,3,3,4,6,1,0,1
66,214,-1,,4,1,4,2,3,50,4,35,4,70,5,3,2,1,7,2,32,6,5,1,7,1,2,0,1
67,281,-1,,6,7,4,1,4,81,4,27,4,81,4,3,2,2,9,5,37,1,1,4,4,6,1,2,2
68,180,1,10,3,4,3,2,7,10,2,30,4,50,4,5,2,2,6,2,25,4,2,2,5,5,1,0,1
69,586,-1,,1,1,7,1,1,70,7,50,6,90,7,5,1,1,9,5,37,6,7,6,2,2,1,6,1
70,400,-1,,6,6,5,1,3,40,5,10,6,72,4,2,2,1,5,4,30,3,1,1,7,1,2,0,2
71,766,1,3,3,3,4,1,6,80,4,60,4,80,5,4,1,1,7,5,40,1,3,4,2,6,2,2,1
72,309,1,,3,2,1,1,2,,7,10,3,50,2,5,1,1,3,6,30,1,3,2,6,5,2,3,1
73,362,0,,4,4,3,3,5,80,4,70,4,90,4,5,3,3,9,5,34,6,2,6,4,2,2,5,2
74,222,-1,,3,3,4,2,2,50,1,50,1,50,1,1,2,1,2,2,43,6,4,2,5,1,1,2,1
75,210,-1,,2,2,2,1,4,99,7,50,1,95,4,4,1,1,6,4,26,2,1,3,5,3,1,5,2
76,368,-1,,6,6,4,3,3,99,6,80,4,95,5,5,2,2,3,6,40,6,2,2,5,1,1,3,1
77,313,1,10,4,5,7,2,6,70,4,50,4,70,4,5,1,1,2,2,38,6,2,1,7,4,1,1,1
78,342,-1,,3,4,4,2,6,90,4,80,4,70,3,5,1,1,6,2,35,6,2,1,5,6,2,2,1
79,451,0,,5,1,5,3,2,80,6,90,6,90,6,1,1,1,7,1,49,6,4,2,5,6,2,3,1
80,298,1,12,7,1,2,1,6,80,5,90,6,90,6,3,1,2,7,2,24,6,3,2,6,5,1,1,1
81,405,-1,,2,2,4,2,5,15,7,50,4,70,4,3,1,1,7,1,55,5,2,2,6,1,2,,1
82,259,0,,6,2,7,3,4,50,4,70,4,60,4,4,2,1,5,5,37,2,5,5,4,2,2,3,1
83,294,0,,3,3,3,2,3,75,4,50,4,75,4,3,1,1,7,4,42,1,1,1,5,5,2,0,1
84,437,1,13,4,1,6,3,4,80,3,60,3,65,4,1,1,1,7,5,39,2,5,4,2,5,2,0,1
85,241,1,,1,2,3,1,,,,10,4,10,4,4,1,1,3,4,26,4,4,4,4,1,2,0,1
86,714,-1,,4,1,4,4,3,,,0,3,,,5,2,1,6,5,55,6,6,,,,1,3,1
87,463,-1,,6,4,4,1,6,49,1,40,2,60,2,1,3,3,7,6,42,4,1,1,7,6,2,0,2
88,596,-1,,6,6,4,2,5,75,4,50,3,50,4,3,2,2,7,2,31,1,2,2,6,1,2,0,2
89,195,0,,3,1,6,4,2,95,7,30,2,90,4,5,1,1,9,5,25,6,7,3,6,6,2,2,1
